State,Most people can be trusted,Can't be too careful,NA,DK
Argentina,15,82.6,0,2.4
Chile,22.2,75.2,0,2.6
China,52.5,43.8,3.6,0.1
India,38.9,55.9,0,5.2
Japan,39.6,52.4,0,7.9
South Korea,27.3,72.7,0,0
Mexico,20.8,76.6,0,2.6
Moldova,14.1,82.1,0,3.8
Nigeria,25.3,73.6,0,1
Pakistan,28.2,63.1,0,8.7
Peru,10.6,88.7,0,0.7
Philippines,8.3,90.7,0,1
South Africa,11.5,86.5,0,2
Spain,32.7,63.5,0,3.8
Sweden,63.7,32.4,0,3.9
Turkey,18.6,79.8,0.9,0.7
Egypt,37.5,61.4,0,1.2
United States,35.5,63.6,0,0.9
Serbia,18.3,79,0,2.7
