State,Most people can be trusted,Can't be too careful,NA,DK
Argentina,17.4,81.3,0.2,1.1
Australia,45.6,53.2,1.2,0
Chile,12.4,86.1,0.8,0.7
China,49.3,44.4,0.8,5.5
Taiwan,24.2,75.6,0,0.2
Colombia,14.3,84.6,0,1.1
Germany,33.8,57.9,1.7,6.6
India,20.7,68.2,0,11.1
Japan,36.6,57,0,6.4
South Korea,28,71.1,0.9,0
Mexico,15.4,83.8,0.3,0.4
Moldova,17.6,80.9,0,1.5
New Zealand,48.5,46.3,5.1,0
Peru,6.2,92.4,1.4,0
Poland,18.1,77.3,0.2,4.4
Romania,19.3,75.6,2.1,3
Russia,24.6,69.1,0.6,5.5
Slovenia,17.5,78.9,0.8,2.9
Spain,19.8,78.9,0.1,1
Sweden,65.2,30.7,4.1,0
Turkey,4.8,94.6,0,0.3
Ukraine,24.5,64.4,8.3,2.8
Egypt,18.5,81.3,0.1,0.1
United States,39.1,60.3,0.2,0
Uruguay,24.6,61.9,13.5,0
Serbia and Montenegro,13.6,75.4,1.1,9.9
